screenName,statuses,friends,followers,tweet,rcount,fcount
k_sawada0731,23809,481,567,https://twitter.com/k_sawada0731/status/542267107753213953,4,1
L0C0P,46615,579,669,https://twitter.com/L0C0P/status/542291427007266816,1,0
lari_pedtohu,82226,1353,1017,https://twitter.com/lari_pedtohu/status/541856691008970752,3900,1459
laundressjp,92046,4282,4340,https://twitter.com/laundressjp/status/542227705131855873,1,1
levinassien,24027,126,130540,https://twitter.com/levinassien/status/541751835405471744,1169,321
LiLiTeA,90707,437,910,https://twitter.com/LiLiTeA/status/541954614493339648,4340,2002
Linda_pp,110054,376,1025,https://twitter.com/Linda_pp/status/542261323472449536,11,5
livedoornews,106588,62,74924,https://twitter.com/livedoornews/status/542274005873332224,451,283
Magyochika,33683,252,271,https://twitter.com/Magyochika/status/542193214346637312,1,1
mahoone,4562,369,5910,https://twitter.com/mahoone/status/542108674068459520,207,627
Mako_YsLDBG,14406,184,189,https://twitter.com/Mako_YsLDBG/status/538870756780691456,107,25
masillo,36959,94,4397,https://twitter.com/masillo/status/488874669781446656,1358,693
mas__yamazaki,11863,37,13877,https://twitter.com/mas__yamazaki/status/541842574651031552,208,63
meti_NIPPON,3584,8,88487,https://twitter.com/meti_NIPPON/status/542249689135845377,1,0
MioSuzuka70,16907,361,219,https://twitter.com/MioSuzuka70/status/542222269120917504,1,0
miwastaff,2626,0,177468,https://twitter.com/miwastaff/status/542184205195542528,365,765
mizchi,229625,3476,5835,https://twitter.com/mizchi/status/542285094220611586,8,5
mizunotori,19987,165,1215,https://twitter.com/mizunotori/status/542227624311783424,106,18
mizutama0328,5411,240,426,https://twitter.com/mizutama0328/status/542225412684656640,2,0
mogura2001,83387,822,3941,https://twitter.com/mogura2001/status/542179839319359488,25,15
morunyau,113026,198,7553,https://twitter.com/morunyau/status/512518462019629057,11360,6901
mstk69,68501,1004,677,https://twitter.com/mstk69/status/542240789862965248,1,0
MurakamiShinyu,5031,460,1573,https://twitter.com/MurakamiShinyu/status/542261260977311744,3,1
Murakumo_weiche,11268,340,407,https://twitter.com/Murakumo_weiche/status/542210059594256385,8,6
mu_gakken,9754,182,31184,https://twitter.com/mu_gakken/status/541876341918801920,6,7
mzp,76432,2883,4981,https://twitter.com/mzp/status/542255170558496768,3,2
m_tak5,35781,1204,1367,https://twitter.com/m_tak5/status/542238767906426881,5,0
nagasakishoten,2028,1162,3283,https://twitter.com/nagasakishoten/status/542225307319959553,1,1
nagise,46423,1335,2726,https://twitter.com/nagise/status/542241711137619968,1,0
NAMAZUr,272209,7659,16082,https://twitter.com/NAMAZUr/status/542264518676463616,79,36
naoki0311,52417,1412,1405,https://twitter.com/naoki0311/status/542235448987242497,2,0
naoya_ito,9765,412,15707,https://twitter.com/naoya_ito/status/542260651083587585,1,1
nasumoku,311968,410,497,https://twitter.com/nasumoku/status/541893688176037888,15,1
natalie_mu,73797,3,754577,https://twitter.com/natalie_mu/status/542289440199020544,15,52
neora30,107252,621,695,https://twitter.com/neora30/status/542258378890686465,2,1
newdays_jp,3464,5547,12421,https://twitter.com/newdays_jp/status/542269943736070145,230,67
Nintendo,2989,7,310622,https://twitter.com/Nintendo/status/542139517709213697,4465,1372
nkmz2,55722,47443,48724,https://twitter.com/nkmz2/status/542284342890749954,9,4
nns_blackhand,110699,576,2432,https://twitter.com/nns_blackhand/status/541594111099158529,430,158
noge_chinjuya,1785,2686,9780,https://twitter.com/noge_chinjuya/status/542247265599901696,51,10
nooyosh,39664,850,1136,https://twitter.com/nooyosh/status/542262768523411456,4,4
nue213,7849,70,487,https://twitter.com/nue213/status/542182258669387777,7,3
nw3masa,1785,348,1403,https://twitter.com/nw3masa/status/542088939238993920,365,344
nyanwanchun,142000,585,1186,https://twitter.com/nyanwanchun/status/541854093841412096,5102,3524
oharan,18077,328,2689,https://twitter.com/oharan/status/542003118649507841,3,1
Oideyo_Kenketsu,67,73,5105,https://twitter.com/Oideyo_Kenketsu/status/541880913374625792,31414,14431
OmochiStrike,3009,71,75,https://twitter.com/OmochiStrike/status/542221096854900736,1,1
OrangeMorishita,36252,1662,1737,https://twitter.com/OrangeMorishita/status/542208188552978432,1,0
oshio_at,16336,1792,3098,https://twitter.com/oshio_at/status/542076655871614976,508,369
oshiroi_you,10695,92,7113,https://twitter.com/oshiroi_you/status/505686403053674496,42837,24204
ota_new,62601,193846,194277,https://twitter.com/ota_new/status/542255850933325824,34,23
OUTSTRIP2014,173,200,110,https://twitter.com/OUTSTRIP2014/status/542205836014014464,3,0
owmist,59592,185,440,https://twitter.com/owmist/status/542240077489782784,1,0
papa_syufu,44861,423,175,https://twitter.com/papa_syufu/status/78746382705500160,12,6
piro_or,17049,382,1380,https://twitter.com/piro_or/status/542234997709488128,2,2
Pocketkingdom_m,379,3,12700,https://twitter.com/Pocketkingdom_m/status/541803082179297280,851,76
